number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
63,174.4357452392578,2026-01-03 01:35:08.949665,2026-01-03 01:35:35.506876,0 days 00:00:26.557211,relu,0.38182627639680433,30,0.045989439057172656,2,True,standard,0.00026022789987545673,COMPLETE
64,148.12515258789062,2026-01-03 01:35:35.515879,2026-01-03 01:36:02.051108,0 days 00:00:26.535229,relu,0.14795229491961867,28,0.07246297858818533,2,True,standard,0.000566494542191482,COMPLETE
65,177.46600341796875,2026-01-03 01:36:02.059107,2026-01-03 01:36:28.546821,0 days 00:00:26.487714,relu,0.11785950216629681,27,0.0720943181785745,2,True,minmax,0.0005958123675473429,COMPLETE
66,181.9513702392578,2026-01-03 01:36:28.553818,2026-01-03 01:36:55.546040,0 days 00:00:26.992222,mish,0.4698693082012422,22,0.03201037623228513,2,True,standard,0.00032636361835852555,COMPLETE
67,176.96743774414062,2026-01-03 01:36:55.554045,2026-01-03 01:37:21.500730,0 days 00:00:25.946685,relu,0.1925290014056844,11,0.05763935694577319,2,True,standard,0.0007987784452779293,COMPLETE
68,191.7790069580078,2026-01-03 01:37:21.509730,2026-01-03 01:37:46.982942,0 days 00:00:25.473212,relu,0.13752089658637923,4,0.09854329435557083,2,True,standard,0.0005793066880641044,COMPLETE
69,169.9368438720703,2026-01-03 01:37:46.989939,2026-01-03 01:38:13.544167,0 days 00:00:26.554228,silu,0.1694568683941308,25,0.07084063522025573,2,True,standard,0.0004223410780524462,COMPLETE
70,198.34207634819876,2026-01-03 01:38:13.551167,2026-01-03 01:38:39.233860,0 days 00:00:25.682693,relu,0.1454654252672088,27,0.0009504403636101678,2,False,standard,0.0007105795101338358,COMPLETE
71,150.24819946289062,2026-01-03 01:38:39.242863,2026-01-03 01:39:05.600588,0 days 00:00:26.357725,relu,0.1304385865911178,30,0.04422246951241183,2,True,standard,0.00015313399376722111,COMPLETE
72,157.4347686767578,2026-01-03 01:39:05.609589,2026-01-03 01:39:32.142816,0 days 00:00:26.533227,relu,0.12847186900389598,28,0.03447444111694403,2,True,standard,0.0002894952758564382,COMPLETE
73,154.9505157470703,2026-01-03 01:39:32.150816,2026-01-03 01:39:58.285550,0 days 00:00:26.134734,relu,0.11249584331261442,20,0.05377444174607392,2,True,standard,0.00037045056307594636,COMPLETE
74,161.49317932128906,2026-01-03 01:39:58.292550,2026-01-03 01:40:24.841278,0 days 00:00:26.548728,relu,0.13201462610939382,29,0.02360389029028119,2,True,standard,0.0005358649825449062,COMPLETE
75,169.83726501464844,2026-01-03 01:40:24.849274,2026-01-03 01:40:51.305519,0 days 00:00:26.456245,relu,0.14898328604959502,25,0.01766323609618539,2,True,standard,0.00011201085211802358,COMPLETE
76,176.46267700195312,2026-01-03 01:40:51.314519,2026-01-03 01:41:17.754216,0 days 00:00:26.439697,relu,0.16293083455443894,23,0.080031183468617,2,True,none,0.0002050809162765244,COMPLETE
77,195.7453155517578,2026-01-03 01:41:17.761215,2026-01-03 01:41:45.126435,0 days 00:00:27.365220,mish,0.44121150200909587,30,0.05954186610065098,2,True,minmax,0.0002590130004452728,COMPLETE
78,149.7330322265625,2026-01-03 01:41:45.135435,2026-01-03 01:42:11.541664,0 days 00:00:26.406229,relu,0.11181545699723325,28,0.04707831488528331,2,True,standard,0.0009720049654187381,COMPLETE
79,222.9111785888672,2026-01-03 01:42:11.550667,2026-01-03 01:42:37.464855,0 days 00:00:25.914188,relu,0.18512994131406432,9,0.00018690725378589463,2,True,standard,0.0009274007237415208,COMPLETE
80,144.3790740966797,2026-01-03 01:42:37.473856,2026-01-03 01:43:04.093103,0 days 00:00:26.619247,relu,0.11473794102240503,31,0.04954344519478417,2,True,standard,0.0006880598401721778,COMPLETE
81,145.13113403320312,2026-01-03 01:43:04.102101,2026-01-03 01:43:30.754797,0 days 00:00:26.652696,relu,0.11466481528203806,31,0.04788627186676127,2,True,standard,0.000993531652157785,COMPLETE
82,151.7541961669922,2026-01-03 01:43:30.762796,2026-01-03 01:43:57.314010,0 days 00:00:26.551214,relu,0.11264647525970614,31,0.029224935579889078,2,True,standard,0.0008438978540564201,COMPLETE
83,155.99911499023438,2026-01-03 01:43:57.322007,2026-01-03 01:44:23.814697,0 days 00:00:26.492690,relu,0.11476945210509056,28,0.029076726776157157,2,True,standard,0.000976671197055399,COMPLETE
84,146.47802734375,2026-01-03 01:44:23.823697,2026-01-03 01:44:50.372413,0 days 00:00:26.548716,relu,0.13227735294300014,30,0.0623075159431067,2,True,standard,0.000727245399062146,COMPLETE
85,181.1715850830078,2026-01-03 01:44:50.380411,2026-01-03 01:45:16.839626,0 days 00:00:26.459215,relu,0.49813677779969145,30,0.06467837877789935,2,True,standard,0.0005652896329536945,COMPLETE
86,149.8651885986328,2026-01-03 01:45:16.846627,2026-01-03 01:45:43.507847,0 days 00:00:26.661220,relu,0.13147560842686012,28,0.0910807638342661,2,True,standard,0.0007332688723100024,COMPLETE
87,144.80374145507812,2026-01-03 01:45:43.515849,2026-01-03 01:46:09.851040,0 days 00:00:26.335191,relu,0.13364062172534807,28,0.09522618161666167,2,True,standard,0.0007477018838125836,COMPLETE
88,198.278902859158,2026-01-03 01:46:09.861042,2026-01-03 01:46:35.534750,0 days 00:00:25.673708,silu,0.12859179417587296,25,0.0009533262122227923,2,False,standard,0.0007297503562196751,COMPLETE
89,182.81826782226562,2026-01-03 01:46:35.543750,2026-01-03 01:47:01.245956,0 days 00:00:25.702206,relu,0.13572031016120711,6,0.09990227489790163,2,True,standard,0.0008719385914928518,COMPLETE
90,178.5604248046875,2026-01-03 01:47:01.253956,2026-01-03 01:47:25.149640,0 days 00:00:23.895684,relu,0.1076313117461787,27,0.07862431423188737,1,True,none,0.000691635414642534,COMPLETE
91,143.98345947265625,2026-01-03 01:47:25.157640,2026-01-03 01:47:51.555869,0 days 00:00:26.398229,relu,0.14218316063554337,28,0.08554312624603251,2,True,standard,0.0004264322330570821,COMPLETE
92,150.0751190185547,2026-01-03 01:47:51.563869,2026-01-03 01:48:17.889074,0 days 00:00:26.325205,relu,0.1440926702956537,28,0.08687330779297366,2,True,standard,0.000989664142535298,COMPLETE
93,148.1851348876953,2026-01-03 01:48:17.896074,2026-01-03 01:48:44.527285,0 days 00:00:26.631211,relu,0.14204407998626536,28,0.08922222479920745,2,True,standard,0.0009979017612593687,COMPLETE
94,145.46212768554688,2026-01-03 01:48:44.535284,2026-01-03 01:49:11.140483,0 days 00:00:26.605199,relu,0.12143882050984786,25,0.07247197101320009,2,True,standard,0.0006472910934128297,COMPLETE
95,146.9202423095703,2026-01-03 01:49:11.148485,2026-01-03 01:49:37.677910,0 days 00:00:26.529425,relu,0.12052619722308783,25,0.0634626956434589,2,True,standard,0.0005627421052813029,COMPLETE
96,150.11007690429688,2026-01-03 01:49:37.685910,2026-01-03 01:50:03.889607,0 days 00:00:26.203697,relu,0.12063651487849811,21,0.06607605205144661,2,True,standard,0.00043843107797869607,COMPLETE
