number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
67,187.3727569580078,2026-01-03 18:31:12.345580,2026-01-03 18:31:18.882112,0 days 00:00:06.536532,mish,0.33376121368136175,27,0.004321117673466315,1,True,standard,3.1524058370063826e-05,COMPLETE
68,193.40206909179688,2026-01-03 18:31:18.891626,2026-01-03 18:31:25.527762,0 days 00:00:06.636136,gelu,0.4069317965534169,4,0.0977272747070207,1,True,robust,2.0439741001320747e-05,COMPLETE
69,168.79283142089844,2026-01-03 18:31:25.536277,2026-01-03 18:31:31.858701,0 days 00:00:06.322424,relu,0.2849985004926099,22,0.046102309245532005,1,True,standard,1.2975368738086577e-05,COMPLETE
70,198.67018832736545,2026-01-03 18:31:31.867218,2026-01-03 18:31:37.824138,0 days 00:00:05.956920,relu,0.24186002133578371,14,0.0009510424435920351,1,False,standard,8.131997579756295e-06,COMPLETE
71,165.07948303222656,2026-01-03 18:31:37.832656,2026-01-03 18:31:44.071511,0 days 00:00:06.238855,relu,0.2846440380140163,21,0.04596305556059208,1,True,standard,1.3273069967650653e-05,COMPLETE
72,198.47994995117188,2026-01-03 18:31:44.080559,2026-01-03 18:31:50.409876,0 days 00:00:06.329317,relu,0.303694620703411,21,0.0002584813204194662,1,True,standard,1.2811632593126055e-05,COMPLETE
73,162.10244750976562,2026-01-03 18:31:51.022845,2026-01-03 18:31:57.304671,0 days 00:00:06.281826,relu,0.2925632847287628,22,0.07656654924547533,1,True,standard,1.9909484293125288e-05,COMPLETE
74,168.19479370117188,2026-01-03 18:31:57.314190,2026-01-03 18:32:03.743664,0 days 00:00:06.429474,relu,0.2887823400289222,19,0.08059198353278496,1,True,standard,1.9719453322379206e-05,COMPLETE
75,182.65866088867188,2026-01-03 18:32:03.754190,2026-01-03 18:32:10.105986,0 days 00:00:06.351796,relu,0.2854768024412249,18,0.08005340912579845,1,True,none,1.983758342043735e-05,COMPLETE
76,164.07847595214844,2026-01-03 18:32:10.114507,2026-01-03 18:32:16.464100,0 days 00:00:06.349593,relu,0.24264289154184904,19,0.04465994826612108,1,True,standard,2.977846445251704e-05,COMPLETE
77,169.5947265625,2026-01-03 18:32:16.473618,2026-01-03 18:32:22.718667,0 days 00:00:06.245049,relu,0.2876771405636512,16,0.0449425613977449,1,True,standard,2.978407293768311e-05,COMPLETE
78,167.41183471679688,2026-01-03 18:32:22.728189,2026-01-03 18:32:29.003340,0 days 00:00:06.275151,relu,0.24869790771403538,16,0.044679310846289684,1,True,standard,2.7908749106019767e-05,COMPLETE
79,173.43545532226562,2026-01-03 18:32:29.012852,2026-01-03 18:32:35.607567,0 days 00:00:06.594715,relu,0.2462100179682193,16,0.019835693080530077,1,True,standard,2.958377989384142e-05,COMPLETE
80,166.0837860107422,2026-01-03 18:32:35.618085,2026-01-03 18:32:42.336978,0 days 00:00:06.718893,relu,0.22518522234900434,19,0.04500892508745207,1,True,standard,2.3372301140364868e-05,COMPLETE
81,167.4188690185547,2026-01-03 18:32:42.346499,2026-01-03 18:32:48.833827,0 days 00:00:06.487328,relu,0.2209911151819192,19,0.04669680224273282,1,True,standard,2.65520015712484e-05,COMPLETE
82,168.3658447265625,2026-01-03 18:32:48.844344,2026-01-03 18:32:55.333136,0 days 00:00:06.488792,relu,0.21482799704690508,19,0.032053006333155026,1,True,standard,5.054224500744911e-05,COMPLETE
83,165.88031005859375,2026-01-03 18:32:55.342646,2026-01-03 18:33:01.859679,0 days 00:00:06.517033,relu,0.21351682288239168,19,0.030812315737353727,1,True,standard,3.6944361494764865e-05,COMPLETE
84,167.2389373779297,2026-01-03 18:33:01.869202,2026-01-03 18:33:08.360903,0 days 00:00:06.491701,relu,0.20969438297374848,19,0.02998036630867212,1,True,standard,5.485917126932405e-05,COMPLETE
85,165.4473876953125,2026-01-03 18:33:08.369424,2026-01-03 18:33:14.781579,0 days 00:00:06.412155,relu,0.2086014036983913,19,0.02819376529296751,1,True,standard,3.511421135314566e-05,COMPLETE
86,176.6475372314453,2026-01-03 18:33:14.791093,2026-01-03 18:33:21.280421,0 days 00:00:06.489328,relu,0.1956746833561213,17,0.016396245387767783,1,True,none,5.360315212556879e-05,COMPLETE
87,171.79747009277344,2026-01-03 18:33:21.289939,2026-01-03 18:33:27.746921,0 days 00:00:06.456982,relu,0.21779155336537465,14,0.027307984048945768,1,True,standard,7.571423276799628e-05,COMPLETE
88,207.1369583468967,2026-01-03 18:33:27.755929,2026-01-03 18:33:33.810999,0 days 00:00:06.055070,relu,0.1623468419910417,20,0.0009649252498168121,1,False,robust,3.933733554489516e-05,COMPLETE
89,177.6920623779297,2026-01-03 18:33:33.819514,2026-01-03 18:33:40.374620,0 days 00:00:06.555106,relu,0.2566610894127725,17,0.009629060462975608,1,True,standard,3.4774608262679404e-05,COMPLETE
90,196.1582489013672,2026-01-03 18:33:40.382135,2026-01-03 18:33:46.804190,0 days 00:00:06.422055,relu,0.2265201254340673,15,0.013682472674235563,1,True,minmax,2.622885234671755e-05,COMPLETE
91,164.94943237304688,2026-01-03 18:33:46.812710,2026-01-03 18:33:53.241142,0 days 00:00:06.428432,relu,0.19539844394019676,19,0.03809163698148429,1,True,standard,4.455961900797698e-05,COMPLETE
92,166.7301788330078,2026-01-03 18:33:53.250658,2026-01-03 18:33:59.711845,0 days 00:00:06.461187,relu,0.19382220336222328,17,0.036787905244557544,1,True,standard,7.415455149497806e-05,COMPLETE
93,171.1527862548828,2026-01-03 18:33:59.720363,2026-01-03 18:34:06.221084,0 days 00:00:06.500721,relu,0.19756359809000626,15,0.02172142824308399,1,True,standard,4.167460923340697e-05,COMPLETE
94,166.2892303466797,2026-01-03 18:34:06.229611,2026-01-03 18:34:12.670735,0 days 00:00:06.441124,relu,0.16281136730301332,13,0.033208921956326264,1,True,standard,7.526805820574769e-05,COMPLETE
95,172.18582153320312,2026-01-03 18:34:12.679253,2026-01-03 18:34:19.117762,0 days 00:00:06.438509,relu,0.16760885729930236,13,0.03481357652631825,1,True,standard,7.685815345998521e-05,COMPLETE
96,170.57833862304688,2026-01-03 18:34:19.127267,2026-01-03 18:34:25.622358,0 days 00:00:06.495091,relu,0.1870029813155833,11,0.029104767755131253,1,True,standard,9.83111999025286e-05,COMPLETE
97,168.99615478515625,2026-01-03 18:34:25.649420,2026-01-03 18:34:32.119249,0 days 00:00:06.469829,relu,0.15307107988127105,18,0.025338275609283097,1,True,standard,5.007134643283031e-05,COMPLETE
98,161.26034545898438,2026-01-03 18:34:32.127272,2026-01-03 18:34:39.701271,0 days 00:00:07.573999,relu,0.12593637681071962,21,0.03847212024933485,2,True,standard,6.924280781563029e-05,COMPLETE
99,166.69161987304688,2026-01-03 18:34:39.709794,2026-01-03 18:34:47.472905,0 days 00:00:07.763111,relu,0.18556101232374314,21,0.04117299251588981,2,True,standard,0.00011669107084765272,COMPLETE
100,166.63076782226562,2026-01-03 18:50:52.919383,2026-01-03 18:51:01.480677,0 days 00:00:08.561294,relu,0.11982534731496146,21,0.03825489187475642,2,True,standard,0.0001759279359713934,COMPLETE
101,157.4201202392578,2026-01-03 18:51:01.489676,2026-01-03 18:51:08.437714,0 days 00:00:06.948038,relu,0.10709670697381746,21,0.04040205722236046,2,True,standard,0.0001733414631505203,COMPLETE
102,162.16600036621094,2026-01-03 18:51:08.445717,2026-01-03 18:51:15.370729,0 days 00:00:06.925012,relu,0.11274237386059743,20,0.037464223494954416,2,True,standard,0.00019767982113760548,COMPLETE
103,165.87442016601562,2026-01-03 18:51:15.378729,2026-01-03 18:51:22.236269,0 days 00:00:06.857540,relu,0.11416522115556121,20,0.02294623573331912,2,True,standard,0.0005593414449797623,COMPLETE
104,165.57321166992188,2026-01-03 18:51:22.244273,2026-01-03 18:51:29.291449,0 days 00:00:07.047176,relu,0.12044680317830986,23,0.02315183968665462,2,True,standard,0.00032015332282029675,COMPLETE
105,165.71470642089844,2026-01-03 18:51:29.299448,2026-01-03 18:51:36.198958,0 days 00:00:06.899510,relu,0.11138701910765983,23,0.02238581058298707,2,True,standard,0.0003514051527342712,COMPLETE
106,175.086669921875,2026-01-03 18:51:36.205957,2026-01-03 18:51:43.235982,0 days 00:00:07.030025,silu,0.11361592764684081,23,0.02071045020823739,2,True,standard,0.00031977369905964207,COMPLETE
107,201.66346218532985,2026-01-03 18:51:43.245991,2026-01-03 18:51:50.021539,0 days 00:00:06.775548,relu,0.13201849936313215,24,0.0009734345863767275,2,False,minmax,0.0007848165773291989,COMPLETE
108,171.50387573242188,2026-01-03 18:51:50.030538,2026-01-03 18:51:56.945521,0 days 00:00:06.914983,relu,0.11182179717220311,20,0.01628506405621232,2,True,standard,0.00028178715898093294,COMPLETE
109,167.7953643798828,2026-01-03 18:51:56.953527,2026-01-03 18:52:04.189650,0 days 00:00:07.236123,relu,0.142611128560139,22,0.023741627087569626,2,True,standard,0.0005620169751699962,COMPLETE
110,175.62380981445312,2026-01-03 18:52:04.196649,2026-01-03 18:52:11.172147,0 days 00:00:06.975498,relu,0.13019297856456324,25,0.017831853099360803,2,True,robust,0.0002186709705904162,COMPLETE
111,164.7598876953125,2026-01-03 18:52:11.180146,2026-01-03 18:52:18.006657,0 days 00:00:06.826511,relu,0.10217105383426373,20,0.026101453222101292,2,True,standard,0.0003292579877178418,COMPLETE
112,173.76193237304688,2026-01-03 18:52:18.060659,2026-01-03 18:52:26.073494,0 days 00:00:08.012835,relu,0.10099650283034725,20,0.011742342289401058,2,True,standard,0.00035387075437809856,COMPLETE
