number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler,params_scaler_post_pca,params_weight_decay,state
91,163.77947998046875,2026-01-02 17:01:44.601155,2026-01-02 17:01:52.339857,0 days 00:00:07.738702,relu,0.20988838631455872,35,0.09620439848818066,True,,none,1.6666765366692362e-05,COMPLETE
92,165.54312133789062,2026-01-02 17:01:52.349857,2026-01-02 17:02:00.084939,0 days 00:00:07.735082,relu,0.22601223542368817,35,0.06106868557162314,True,,none,1.6682257191312708e-05,COMPLETE
93,162.9537353515625,2026-01-02 17:02:00.092944,2026-01-02 17:02:07.896086,0 days 00:00:07.803142,relu,0.20599810774251412,40,0.08641013781994847,True,,none,7.477757784614413e-06,COMPLETE
94,166.86843872070312,2026-01-02 17:02:07.904088,2026-01-02 17:02:15.583634,0 days 00:00:07.679546,relu,0.20988300645201202,29,0.09929653798860297,True,,none,7.506105111438293e-06,COMPLETE
95,166.52658081054688,2026-01-02 17:02:15.590635,2026-01-02 17:02:23.275818,0 days 00:00:07.685183,relu,0.18623253107842502,31,0.0544078170148761,True,,none,1.9788018681992162e-05,COMPLETE
96,166.76632690429688,2026-01-02 17:02:23.282815,2026-01-02 17:02:31.073288,0 days 00:00:07.790473,relu,0.253427827439437,38,0.06312797615963674,True,,none,1.3757787622592356e-05,COMPLETE
97,171.42965698242188,2026-01-02 17:02:31.080288,2026-01-02 17:02:38.814903,0 days 00:00:07.734615,relu,0.20894415554778978,40,0.03818698314941838,True,,none,3.4126042348103504e-05,COMPLETE
98,169.74197387695312,2026-01-02 17:02:38.823903,2026-01-02 17:02:46.521550,0 days 00:00:07.697647,silu,0.2217935547132187,26,0.09929305493437364,True,,none,1.1124802828062458e-05,COMPLETE
99,164.4666290283203,2026-01-02 17:02:46.528549,2026-01-02 17:02:54.323178,0 days 00:00:07.794629,relu,0.19095734447699914,35,0.08277652737807835,True,,none,8.441574311764975e-06,COMPLETE
100,170.8038330078125,2026-01-02 17:02:54.331178,2026-01-02 17:03:02.242795,0 days 00:00:07.911617,relu,0.20865074744910458,51,0.030735162684699145,True,,none,1.7840040785434842e-05,COMPLETE
101,161.886962890625,2026-01-02 17:03:02.251794,2026-01-02 17:03:10.132911,0 days 00:00:07.881117,relu,0.19393343217317532,39,0.08638664104289816,True,,none,8.391474721562407e-06,COMPLETE
102,195.3600616455078,2026-01-02 17:03:10.140911,2026-01-02 17:03:17.828438,0 days 00:00:07.687527,relu,0.22883012611944623,39,0.00038424467111190477,True,,none,4.270053155829102e-05,COMPLETE
103,163.99827575683594,2026-01-02 17:03:17.836437,2026-01-02 17:03:25.745065,0 days 00:00:07.908628,relu,0.24998677640172848,42,0.08673929461076448,True,,none,1.2342990188016018e-05,COMPLETE
104,162.1922607421875,2026-01-02 17:03:25.753065,2026-01-02 17:03:33.474629,0 days 00:00:07.721564,relu,0.17852019935926597,36,0.08741984701748591,True,,none,2.4913300452121946e-05,COMPLETE
105,165.89942932128906,2026-01-02 17:03:33.482628,2026-01-02 17:03:41.229292,0 days 00:00:07.746664,relu,0.1784593710835835,33,0.060540399439317605,True,,none,2.5006939204255632e-05,COMPLETE
106,197.90939954969616,2026-01-02 17:03:41.237292,2026-01-02 17:03:48.763465,0 days 00:00:07.526173,relu,0.17139990144408074,35,0.0009786230194520512,False,,none,4.1388695871137305e-06,COMPLETE
107,166.39987182617188,2026-01-02 17:03:48.770466,2026-01-02 17:03:56.565063,0 days 00:00:07.794597,relu,0.19571317155856632,37,0.05018533739815474,True,,none,6.946073896602192e-06,COMPLETE
108,166.96360778808594,2026-01-02 17:03:56.572063,2026-01-02 17:04:04.340701,0 days 00:00:07.768638,relu,0.2184562674885855,28,0.08868543163852481,True,,none,2.219120031983186e-05,COMPLETE
109,169.98211669921875,2026-01-02 17:04:04.348701,2026-01-02 17:04:11.965320,0 days 00:00:07.616619,relu,0.20443331035207382,25,0.0645207625125364,True,,none,2.856727598802302e-05,COMPLETE
110,188.9800567626953,2026-01-02 17:04:11.974319,2026-01-02 17:04:19.809452,0 days 00:00:07.835133,relu,0.2613437827426913,40,0.002523883014532818,True,,none,9.440909126545241e-06,COMPLETE
111,164.64181518554688,2026-01-02 17:04:19.817456,2026-01-02 17:04:27.716637,0 days 00:00:07.899181,relu,0.23245992277729507,43,0.08426305676446406,True,,none,1.2330161016548328e-05,COMPLETE
112,164.74624633789062,2026-01-02 17:04:27.726141,2026-01-02 17:04:35.462705,0 days 00:00:07.736564,relu,0.24487518712578235,42,0.07159099656053204,True,,none,1.2953657869423904e-05,COMPLETE
113,162.12193298339844,2026-01-02 17:04:35.470706,2026-01-02 17:04:43.328826,0 days 00:00:07.858120,relu,0.25224773573304676,51,0.08897883077433692,True,,none,1.8641263620609747e-05,COMPLETE
114,165.40379333496094,2026-01-02 17:04:43.337830,2026-01-02 17:04:51.148918,0 days 00:00:07.811088,relu,0.19028110285698047,51,0.05192041472307583,True,,none,1.496929436008739e-05,COMPLETE
115,165.12985229492188,2026-01-02 17:04:51.156917,2026-01-02 17:04:58.841055,0 days 00:00:07.684138,relu,0.21571033935661982,31,0.08839730193764328,True,,none,2.052257964813299e-05,COMPLETE
116,180.60227966308594,2026-01-02 17:04:58.850056,2026-01-02 17:05:06.745638,0 days 00:00:07.895582,silu,0.491584872578645,50,0.06661245647813638,True,,none,1.8695008294873072e-05,COMPLETE
117,163.96275329589844,2026-01-02 17:05:06.753641,2026-01-02 17:05:14.599214,0 days 00:00:07.845573,relu,0.22424957167130316,37,0.0771537582478869,True,,none,7.799924475589334e-06,COMPLETE
118,163.04241943359375,2026-01-02 17:05:14.607214,2026-01-02 17:05:22.478870,0 days 00:00:07.871656,relu,0.25982458117525337,47,0.09797199996178087,True,,none,4.064642728669707e-05,COMPLETE
119,166.93698120117188,2026-01-02 17:05:22.486870,2026-01-02 17:05:30.291508,0 days 00:00:07.804638,relu,0.2606850144635823,46,0.059889169277026824,True,,none,3.888570985988979e-05,COMPLETE
120,162.37814331054688,2026-01-02 17:05:30.299510,2026-01-02 17:05:38.191647,0 days 00:00:07.892137,relu,0.2367969656963453,60,0.07611930815625013,True,,none,3.109637957259826e-05,COMPLETE
121,163.3024139404297,2026-01-02 17:05:38.200644,2026-01-02 17:05:46.094319,0 days 00:00:07.893675,relu,0.23695040638268242,50,0.07451928878993451,True,,none,7.515577320977436e-05,COMPLETE
122,161.13296508789062,2026-01-02 17:05:46.103321,2026-01-02 17:05:53.988477,0 days 00:00:07.885156,relu,0.23644637199157723,60,0.08476804190397326,True,,none,6.385305152025766e-05,COMPLETE
123,160.18917846679688,2026-01-02 17:05:53.996477,2026-01-02 17:06:01.912702,0 days 00:00:07.916225,relu,0.20016539593280203,59,0.09988282095626386,True,,none,4.998892020756648e-05,COMPLETE
124,158.48104858398438,2026-01-02 17:06:01.921702,2026-01-02 17:06:09.829879,0 days 00:00:07.908177,relu,0.20129719900013643,61,0.08579857884659803,True,,none,5.218126987521077e-05,COMPLETE
125,160.0599365234375,2026-01-02 17:06:09.836879,2026-01-02 17:06:17.718008,0 days 00:00:07.881129,relu,0.18270339223995785,60,0.0840087443921559,True,,none,5.408728466811207e-05,COMPLETE
126,163.06350708007812,2026-01-02 17:06:17.725009,2026-01-02 17:06:25.577093,0 days 00:00:07.852084,relu,0.18063076361188915,60,0.051511261994052336,True,,none,4.832658328836288e-05,COMPLETE
127,197.75455003526477,2026-01-02 17:06:25.585093,2026-01-02 17:06:33.244123,0 days 00:00:07.659030,relu,0.1698626380779454,60,0.0009832042499745874,False,,none,5.658128431465397e-05,COMPLETE
128,185.2533721923828,2026-01-02 17:06:33.252127,2026-01-02 17:06:41.210251,0 days 00:00:07.958124,relu,0.4671938341608084,58,0.03990501955711133,True,,none,6.890141678272764e-05,COMPLETE
129,162.24917602539062,2026-01-02 17:06:41.218250,2026-01-02 17:06:49.198953,0 days 00:00:07.980703,relu,0.19697532189716965,52,0.06412215207329532,True,,none,3.0063596612350564e-05,COMPLETE
130,162.8916015625,2026-01-02 17:06:49.205952,2026-01-02 17:06:57.004479,0 days 00:00:07.798527,relu,0.1974990574542823,52,0.06542727154660079,True,,none,3.1189134223590334e-05,COMPLETE
131,160.6563262939453,2026-01-02 17:06:57.013480,2026-01-02 17:07:04.830071,0 days 00:00:07.816591,relu,0.18730714076786573,60,0.08133997687215448,True,,none,8.912068117223833e-05,COMPLETE
132,158.2152557373047,2026-01-02 17:07:04.839075,2026-01-02 17:07:12.658169,0 days 00:00:07.819094,relu,0.1627420526214887,60,0.07938005027794241,True,,none,7.693477027003353e-05,COMPLETE
133,159.5518798828125,2026-01-02 17:07:12.666169,2026-01-02 17:07:20.535776,0 days 00:00:07.869607,relu,0.18495439527180213,60,0.07561846278039243,True,,none,4.7910883296878166e-05,COMPLETE
