number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_gaussian_noise,params_hidden_size,params_lr,params_scale_target,params_scaler,params_weight_decay,state
46,183.20201110839844,2026-01-20 17:09:05.584872,2026-01-20 17:09:07.700111,0 days 00:00:02.115239,relu,0.16713201196054517,0.02747397382092929,32,0.016420349523663006,True,none,0.0005941791471121052,COMPLETE
47,164.39732360839844,2026-01-20 17:09:07.705160,2026-01-20 17:09:09.976167,0 days 00:00:02.271007,relu,0.3075241840209755,0.0052797582942087995,44,0.07604589524108368,True,robust,0.0003800678985933995,COMPLETE
48,267.3012524414063,2026-01-20 17:09:09.979920,2026-01-20 17:09:12.150633,0 days 00:00:02.170713,relu,0.3234746722905295,0.005142147823392359,43,0.0009161117806729149,False,minmax,0.00046753781247022686,COMPLETE
49,182.23248291015625,2026-01-20 17:09:12.155564,2026-01-20 17:09:14.375530,0 days 00:00:02.219966,silu,0.3075599228994661,0.01124634425438538,51,0.07770129587679117,True,robust,0.000999984967701597,COMPLETE
50,183.73989868164062,2026-01-20 17:09:14.379148,2026-01-20 17:09:16.842070,0 days 00:00:02.462922,mish,0.2754230149435428,0.06155748844838715,45,0.02605564769829685,True,robust,0.00023912895717218365,COMPLETE
51,176.42959594726562,2026-01-20 17:09:16.847039,2026-01-20 17:09:19.129602,0 days 00:00:02.282563,relu,0.342823700057131,0.0053213694279850565,39,0.04094469511478786,True,robust,0.00043962063902509103,COMPLETE
52,164.91943359375,2026-01-20 17:09:19.133623,2026-01-20 17:09:21.375533,0 days 00:00:02.241910,relu,0.1230460426963975,0.013695940410803187,36,0.09774611890520114,True,robust,0.00013412476594847915,COMPLETE
53,163.6044464111328,2026-01-20 17:09:21.381003,2026-01-20 17:09:23.580135,0 days 00:00:02.199132,relu,0.1247662018670547,0.01186640826475108,30,0.09867831822117745,True,robust,0.00020674847767615656,COMPLETE
54,167.6826171875,2026-01-20 17:09:23.584223,2026-01-20 17:09:25.752392,0 days 00:00:02.168169,relu,0.10019009414184582,0.012157129086972963,31,0.0836348480395353,True,robust,0.0001279574062287308,COMPLETE
55,158.35604858398438,2026-01-20 17:09:25.756040,2026-01-20 17:09:27.923346,0 days 00:00:02.167306,relu,0.12586631441235943,0.007256830938336106,30,0.09676405654538106,True,standard,0.00012293557840602906,COMPLETE
