number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler_post_pca,params_weight_decay,state
105,,2026-01-02 14:14:39.484217,2026-01-02 14:15:14.423977,0 days 00:00:34.939760,mish,0.19921412677070716,14,0.08829278459755686,False,minmax,0.00038575187888978673,FAIL
106,,2026-01-02 14:15:14.429854,2026-01-02 14:15:53.889844,0 days 00:00:39.459990,mish,0.21372055930318445,48,0.09148633387724267,False,minmax,0.00046517460830309865,FAIL
107,,2026-01-02 14:15:53.895178,2026-01-02 14:16:33.584962,0 days 00:00:39.689784,mish,0.2153869074752947,49,0.09865561675614454,False,minmax,0.0004584776320369226,FAIL
108,,2026-01-02 14:16:33.595313,2026-01-02 14:17:13.373547,0 days 00:00:39.778234,mish,0.20973585219876323,47,0.09489557704214113,False,minmax,1.6816327393168978e-05,FAIL
109,,2026-01-02 14:17:13.379106,2026-01-02 14:17:50.954303,0 days 00:00:37.575197,mish,0.21077784065900035,33,0.09661551745573459,False,minmax,0.0004553910909426241,FAIL
110,,2026-01-02 14:17:50.959877,2026-01-02 14:18:31.232164,0 days 00:00:40.272287,mish,0.2085846550941574,47,0.09978272203809288,False,minmax,0.00043214879581397286,FAIL
111,,2026-01-02 14:18:31.238566,2026-01-02 14:19:07.490424,0 days 00:00:36.251858,mish,0.2171641251456793,14,0.08368577191306871,False,minmax,0.0004391766799070151,FAIL
112,,2026-01-02 14:19:07.495878,2026-01-02 14:19:47.888970,0 days 00:00:40.393092,mish,0.2191739545978136,48,0.09340069957094205,False,minmax,0.0004154582225974331,FAIL
113,,2026-01-02 14:19:47.895979,2026-01-02 14:20:28.754242,0 days 00:00:40.858263,mish,0.21442172160735148,47,0.081429110816856,False,minmax,0.0004042145553214224,FAIL
114,,2026-01-02 14:20:28.761761,2026-01-02 14:21:12.395145,0 days 00:00:43.633384,mish,0.21913364934008359,50,0.0912864926040954,False,minmax,0.0003884631077335928,FAIL
115,,2026-01-02 14:21:12.402697,2026-01-02 14:21:49.190614,0 days 00:00:36.787917,mish,0.21092606585198811,14,0.06977850492727135,False,minmax,0.00041493938549594085,FAIL
